FishID,DateRespo,ExperimentID,Tank,RespoID,Resp.Vol.L,sex,Mass.g,TL.cm,FL.cm,SL.cm,Depth.cm,Curcumference.cm,filename,Ch,BW,t_min,t_max,t_mean,N_mo2,rmr,mmrChase,mmr,AS,mmr_length_cycle,treatm,origin,pregnant,sizeClass,FAS
GLTB1,1-Jun,spring,A2,R6-1,6.1,F,214.5,23.5,22.6,19.5,9.5,19.7,jun01_2021_box2_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch1,0.2145,15.72,16.46,15.93052632,76,0.421715458,0.554972725,0.764748374,0.343032916,180,16,field,P,> YOY,1.813422677
GLTB1,6-Jun,spring,A2,R6-1,6.1,F,216,23,23,19.1,8.6,19.6,jun06_2021_box2_smr1_mgO2L_analyzed_SMR,Ch1,0.216,19,20.73,20.02544304,79,0.600971535,NA,0.857299189,0.256327654,180,20,field,P,> YOY,1.426522121
GLTB1,11-Jun,spring,A2,R6-1,6.1,F,226.5,22.8,22.5,19.3,9,19.5,jun11_2021_box2_smr1_mgO2L_analyzed_SMR,Ch1,0.2265,11.38,11.74,11.582375,80,0.268147898,0.360790638,0.557427868,0.289279971,180,12,field,P,> YOY,2.078807529
GLTT1,2-Jun,spring,A1,R6-2,6.1,F,318,26.5,25,21.9,10.5,22.5,jun02_2021_box2_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch4,0.318,14.92,16.31,15.97337662,77,0.860159891,0.78476682,1.109191655,0.249031764,1,16,field,P,> YOY,1.289517991
GLTT1,7-Jun,spring,A1,R6-2,6.1,F,248.5,25.9,24.5,21,9.2,20.5,jun07_2021_box2_smr1_mgO2L_analyzed_GLUED_n2_SMR,Ch4,0.2485,19.36,20.67,20.24142857,77,0.955909388,1.22008398,1.433316835,0.477407447,180,20,field,P,> YOY,1.499427512
GRTB1,6-Jun,spring,A2,40-1,32.12,F,711.5,33,33,28.2,12.5,28,jun06_2021_box1_smr1_mgO2L_analyzed_SMR,Ch1,0.7115,19.45,20.31,19.9045679,81,2.082556656,2.669758311,3.14598144,1.063424784,1,20,field,P,> YOY,1.510634263
GRTB1,11-Jun,spring,A2,40-1,32.12,F,684,33,33,28.5,13.1,28.6,jun11_2021_box1_smr1_mgO2L_analyzed_SMR,Ch1,0.684,11.43,12.11,11.7045098,51,1.194442066,2.529965823,2.529965823,1.335523757,180,12,field,P,> YOY,2.11811514
r2-1-BLD,19-Aug,summer-fall,1,6,0.568,M,15.24,10.4,9.7,8.1,3.6,7.8,aug19_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch4,0.01524,15.85,16.51,16.277375,80,0.070795636,0.09528887,0.111007336,0.0402117,180,16,field,nP,YOY,1.567996878
r2-1-BLD,25-Aug,summer-fall,1,1,0.568,M,15.18,10.3,9.7,8.4,3.5,NA,aug25_2021_box1_SMR1_mgO2L_analyzed_SMR,Ch1,0.01518,19.52,20.56,20.21809524,84,0.072912019,NA,0.129623837,0.056711818,NA,20,field,nP,YOY,1.777811656
r2-1-BLD,30-Aug,summer-fall,1,5,0.568,M,16.06,10.4,9.8,8.1,2.5,NA,aug30_2021_box2_smr1_mgO2L_analyzed_SMR,Ch3,0.01606,12.09,12.38,12.20829268,82,0.049009669,0.101446396,0.101446396,0.052436727,180,12,field,nP,YOY,2.069926166
r2-1-BRD,19-Aug,summer-fall,1,G4,0.272,F,6.92,8,7.6,6.3,2.6,NA,aug19_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch4,0.00692,14.86,16.94,15.83179487,78,0.027778784,0.052716634,0.052716634,0.02493785,180,16,field,nP,YOY,1.897730068
r2-1-BRD,25-Aug,summer-fall,1,G1,0.272,F,7.06,8.2,7.8,6.6,2.6,NA,aug25_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch1,0.00706,19.76,20.38,19.99987654,81,0.050841949,0.080065116,0.080065116,0.029223167,180,20,field,nP,YOY,1.574784558
r2-1-BRD,30-Aug,summer-fall,1,G3,0.272,F,7.15,8.2,7.7,6.5,2.6,NA,aug30_2021_box3_smr1_mgO2L_analyzed_SMR,Ch3,0.00715,12.04,12.65,12.16037975,79,0.028167422,0.04656279,0.048094648,0.019927227,180,12,field,nP,YOY,1.707456544
r2-1-BRD,8-Sep,summer-fall,1,G2,0.272,F,7.26,8.1,7.7,6.5,2.8,NA,sep08_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch2,0.00726,21.96,22.89,22.491375,80,NA,0.074253142,0.07542526,NA,180,22,field,nP,YOY,NA
r2-1-GLD,19-Aug,summer-fall,1,5,0.568,M,10.9,9.5,9,7.5,3.1,NA,aug19_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch3,0.0109,15.85,16.51,16.27407407,81,0.04991889,0.068457317,0.086610211,0.036691321,180,16,field,nP,YOY,1.735018758
r2-1-GLD,25-Aug,summer-fall,1,3,0.568,M,10.72,9.6,9,7.6,3,NA,aug25_2021_box2_SMR1_mgO2L_analyzed_SMR,Ch1,0.01072,19.79,20.69,20.49120482,83,0.063113765,0.10725678,0.10725678,0.044143015,180,20,field,nP,YOY,1.699419765
r2-1-GLD,30-Aug,summer-fall,1,6,0.568,M,11.05,9.7,9.3,7.5,3,NA,aug30_2021_box2_smr1_mgO2L_analyzed_SMR,Ch4,0.01105,12.09,12.38,12.20829268,82,0.030811497,0.069446042,0.069446042,0.038634545,180,12,field,nP,YOY,2.253900305
r2-1-GLD,8-Sep,summer-fall,1,2,0.568,M,11.41,9.7,9.2,7.8,3,NA,sep08_2021_box1_smr1_mgO2L_analyzed_SMR,Ch2,0.01141,21.5,22.13,21.77831325,83,0.064485601,0.113067053,0.113067053,0.048581453,180,22,field,nP,YOY,1.753368998
r2-1-GRD,25-Aug,summer-fall,1,G2,0.272,F,8.69,8.7,8.2,6.8,2.8,NA,aug25_2021_box3_SMR1_mgO2L_analyzed_SMR,Ch2,0.00869,19.76,20.38,19.99987654,81,0.056390642,0.065475188,0.084269411,0.02787877,180,20,field,nP,YOY,1.494386457
r2-1-GRD,30-Aug,summer-fall,1,G2,0.272,F,8.81,8.6,8.4,7,2.9,NA,aug30_2021_box3_smr1_mgO2L_analyzed_SMR,Ch2,0.00881,12.04,12.65,12.16037975,79,0.034688316,0.051247169,0.051247169,0.016558853,180,12,field,nP,YOY,1.477361099
