FishID,bpm,bpm.SD,temp_mean,Depth.cm,SL.cm,TL.cm,FL.cm,Tank,mass.g,bpm_duration,temp.rate,heart.mass,breakpoint_Cels,breakpoint_bpm,breakpoint_CIh,breakpoint_CIl,HRpeak,Tpeak,temp_ARRH,time_ARRH,TEMP,sizeClass,treatm,BW
r2-1-ORTT,127.3333976,0.3528,23.95,3.8,NA,NA,NA,1,19.54,0.255,0.164046303,0.018,20.5,118.1936097,3.41124,3.39956,130.5717731,24.9,26.2670745,67.5,24,Juvenile,24,0.01954
r2-1-OLTT,92.68794042,0.1561,16.3,4.1,9.1,11.5,11,1,24,0.251,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,16,Juvenile,16,0.024
r2-1-OLTT,139.9671884,0.4503,24.9,4.1,9.1,11.5,11,1,24,0.255,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,25,Juvenile,25,0.024
r2-1-OLTT,140.802223,0.3132,25.95,4.1,9.1,11.5,11,1,24,0.257,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,26,Juvenile,26,0.024
r2-1-OLTT,98.15761153,0.1352,17,4.1,9.1,11.5,11,1,24,0.253,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,17,Juvenile,17,0.024
r2-1-OLTT,105.881708,0.151,18,4.1,9.1,11.5,11,1,24,0.251,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,18,Juvenile,18,0.024
r2-1-OLTT,113.2183654,0.2093,19,4.1,9.1,11.5,11,1,24,0.267,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,19,Juvenile,19,0.024
r2-1-OLTT,121.0949068,0.2064,20,4.1,9.1,11.5,11,1,24,0.265,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,20,Juvenile,20,0.024
r2-1-OLTT,128.2385156,0.2973,20.9,4.1,9.1,11.5,11,1,24,0.258,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,21,Juvenile,21,0.024
r2-1-OLTT,136.0226719,0.4156,22,4.1,9.1,11.5,11,1,24,0.254,0.164046303,0.02,21.53,134.5609855,3.39679,3.39021,140.802223,25.95,26.54267228,69.18,22,Juvenile,22,0.024
